V ,leafValue( IS("/Q6/C") "N" 1 ) (A),leafValue( IS("/Q6/C") "N" 2 ) (A),leafValue( IS("/Q6/C") "N" 3 ) (A),leafValue( IS("/Q6/C") "N" 4 ) (A),leafValue( IS("/Q6/C") "N" 5 ) (A),leafValue( IS("/Q6/C") "N" 6 ) (A),leafValue( IS("/Q6/C") "N" 7 ) (A),leafValue( IS("/Q6/C") "N" 8 ) (A),leafValue( IS("/Q6/C") "N" 9 ) (A),leafValue( IS("/Q6/C") "N" 10 ) (A),leafValue( IS("/Q6/C") "N" 11 ) (A),leafValue( IS("/Q6/C") "N" 12 ) (A),leafValue( IS("/Q6/C") "N" 13 ) (A),leafValue( IS("/Q6/C") "N" 14 ) (A),leafValue( IS("/Q6/C") "N" 15 ) (A),leafValue( IS("/Q6/C") "N" 16 ) (A),leafValue( IS("/Q6/C") "N" 17 ) (A),leafValue( IS("/Q6/C") "N" 18 ) (A),leafValue( IS("/Q6/C") "N" 19 ) (A),leafValue( IS("/Q6/C") "N" 20 ) (A),leafValue( IS("/Q6/B") "N" 1 ) (A),leafValue( IS("/Q6/B") "N" 2 ) (A),leafValue( IS("/Q6/B") "N" 3 ) (A),leafValue( IS("/Q6/B") "N" 4 ) (A),leafValue( IS("/Q6/B") "N" 5 ) (A),leafValue( IS("/Q6/B") "N" 6 ) (A),leafValue( IS("/Q6/B") "N" 7 ) (A),leafValue( IS("/Q6/B") "N" 8 ) (A),leafValue( IS("/Q6/B") "N" 9 ) (A),leafValue( IS("/Q6/B") "N" 10 ) (A),leafValue( IS("/Q6/B") "N" 11 ) (A),leafValue( IS("/Q6/B") "N" 12 ) (A),leafValue( IS("/Q6/B") "N" 13 ) (A),leafValue( IS("/Q6/B") "N" 14 ) (A),leafValue( IS("/Q6/B") "N" 15 ) (A),leafValue( IS("/Q6/B") "N" 16 ) (A),leafValue( IS("/Q6/B") "N" 17 ) (A),leafValue( IS("/Q6/B") "N" 18 ) (A),leafValue( IS("/Q6/B") "N" 19 ) (A),leafValue( IS("/Q6/B") "N" 20 ) (A)
400.000E-3,18.6675E-12,37.3350E-12,56.0024E-12,74.6699E-12,93.3374E-12,112.005E-12,130.672E-12,149.340E-12,168.007E-12,186.675E-12,205.342E-12,224.010E-12,242.677E-12,261.345E-12,280.012E-12,298.680E-12,317.347E-12,336.015E-12,354.682E-12,373.350E-12,580.857E-15,761.714E-15,942.571E-15,1.12343E-12,1.30429E-12,1.48514E-12,1.66600E-12,1.84686E-12,2.02771E-12,2.20857E-12,2.38943E-12,2.57028E-12,2.75114E-12,2.93200E-12,3.11286E-12,3.29371E-12,3.47457E-12,3.65543E-12,3.83628E-12,4.01714E-12
420.000E-3,39.2938E-12,78.5875E-12,117.881E-12,157.175E-12,196.469E-12,235.763E-12,275.056E-12,314.350E-12,353.644E-12,392.938E-12,432.231E-12,471.525E-12,510.819E-12,550.113E-12,589.406E-12,628.700E-12,667.994E-12,707.288E-12,746.581E-12,785.875E-12,680.453E-15,940.907E-15,1.20136E-12,1.46181E-12,1.72227E-12,1.98272E-12,2.24317E-12,2.50363E-12,2.76408E-12,3.02453E-12,3.28499E-12,3.54544E-12,3.80589E-12,4.06635E-12,4.32680E-12,4.58725E-12,4.84771E-12,5.10816E-12,5.36861E-12,5.62907E-12
440.000E-3,82.6391E-12,165.278E-12,247.917E-12,330.556E-12,413.195E-12,495.834E-12,578.473E-12,661.113E-12,743.752E-12,826.391E-12,909.030E-12,991.669E-12,1.07431E-9,1.15695E-9,1.23959E-9,1.32223E-9,1.40486E-9,1.48750E-9,1.57014E-9,1.65278E-9,824.877E-15,1.20975E-12,1.59463E-12,1.97951E-12,2.36438E-12,2.74926E-12,3.13414E-12,3.51901E-12,3.90389E-12,4.28877E-12,4.67364E-12,5.05852E-12,5.44340E-12,5.82827E-12,6.21315E-12,6.59803E-12,6.98290E-12,7.36778E-12,7.75266E-12,8.13753E-12
460.000E-3,173.639E-12,347.279E-12,520.918E-12,694.558E-12,868.197E-12,1.04184E-9,1.21548E-9,1.38912E-9,1.56275E-9,1.73639E-9,1.91003E-9,2.08367E-9,2.25731E-9,2.43095E-9,2.60459E-9,2.77823E-9,2.95187E-9,3.12551E-9,3.29915E-9,3.47279E-9,1.04871E-12,1.63743E-12,2.22614E-12,2.81485E-12,3.40357E-12,3.99228E-12,4.58099E-12,5.16971E-12,5.75842E-12,6.34713E-12,6.93585E-12,7.52456E-12,8.11327E-12,8.70199E-12,9.29070E-12,9.87941E-12,10.4681E-12,11.0568E-12,11.6456E-12,12.2343E-12
480.000E-3,364.491E-12,728.982E-12,1.09347E-9,1.45796E-9,1.82245E-9,2.18695E-9,2.55144E-9,2.91593E-9,3.28042E-9,3.64491E-9,4.00940E-9,4.37389E-9,4.73838E-9,5.10287E-9,5.46736E-9,5.83185E-9,6.19635E-9,6.56084E-9,6.92533E-9,7.28982E-9,1.42013E-12,2.36027E-12,3.30040E-12,4.24054E-12,5.18067E-12,6.12081E-12,7.06094E-12,8.00108E-12,8.94121E-12,9.88135E-12,10.8215E-12,11.7616E-12,12.7018E-12,13.6419E-12,14.5820E-12,15.5222E-12,16.4623E-12,17.4024E-12,18.3426E-12,19.2827E-12
500.000E-3,764.316E-12,1.52863E-9,2.29295E-9,3.05726E-9,3.82158E-9,4.58589E-9,5.35021E-9,6.11452E-9,6.87884E-9,7.64316E-9,8.40747E-9,9.17179E-9,9.93610E-9,10.7004E-9,11.4647E-9,12.2290E-9,12.9934E-9,13.7577E-9,14.5220E-9,15.2863E-9,2.07723E-12,3.65447E-12,5.23170E-12,6.80894E-12,8.38617E-12,9.96340E-12,11.5406E-12,13.1179E-12,14.6951E-12,16.2723E-12,17.8496E-12,19.4268E-12,21.0040E-12,22.5813E-12,24.1585E-12,25.7357E-12,27.3130E-12,28.8902E-12,30.4674E-12,32.0447E-12
520.000E-3,1.60094E-9,3.20188E-9,4.80282E-9,6.40376E-9,8.00471E-9,9.60565E-9,11.2066E-9,12.8075E-9,14.4085E-9,16.0094E-9,17.6104E-9,19.2113E-9,20.8122E-9,22.4132E-9,24.0141E-9,25.6151E-9,27.2160E-9,28.8169E-9,30.4179E-9,32.0188E-9,3.30526E-12,6.09053E-12,8.87579E-12,11.6611E-12,14.4463E-12,17.2316E-12,20.0168E-12,22.8021E-12,25.5874E-12,28.3726E-12,31.1579E-12,33.9432E-12,36.7284E-12,39.5137E-12,42.2989E-12,45.0842E-12,47.8695E-12,50.6547E-12,53.4400E-12,56.2253E-12
540.000E-3,3.34935E-9,6.69870E-9,10.0480E-9,13.3974E-9,16.7467E-9,20.0961E-9,23.4454E-9,26.7948E-9,30.1441E-9,33.4935E-9,36.8428E-9,40.1922E-9,43.5415E-9,46.8909E-9,50.2402E-9,53.5896E-9,56.9389E-9,60.2883E-9,63.6376E-9,66.9870E-9,5.70144E-12,10.8629E-12,16.0243E-12,21.1858E-12,26.3472E-12,31.5086E-12,36.6701E-12,41.8315E-12,46.9930E-12,52.1544E-12,57.3158E-12,62.4773E-12,67.6387E-12,72.8002E-12,77.9616E-12,83.1230E-12,88.2845E-12,93.4459E-12,98.6073E-12,103.769E-12
560.000E-3,6.99824E-9,13.9965E-9,20.9947E-9,27.9929E-9,34.9912E-9,41.9894E-9,48.9876E-9,55.9859E-9,62.9841E-9,69.9824E-9,76.9806E-9,83.9788E-9,90.9771E-9,97.9753E-9,104.974E-9,111.972E-9,118.970E-9,125.968E-9,132.966E-9,139.965E-9,10.5274E-12,20.4948E-12,30.4623E-12,40.4297E-12,50.3971E-12,60.3645E-12,70.3320E-12,80.2994E-12,90.2668E-12,100.234E-12,110.202E-12,120.169E-12,130.136E-12,140.104E-12,150.071E-12,160.039E-12,170.006E-12,179.974E-12,189.941E-12,199.908E-12
580.000E-3,14.6021E-9,29.2042E-9,43.8063E-9,58.4085E-9,73.0106E-9,87.6127E-9,102.215E-9,116.817E-9,131.419E-9,146.021E-9,160.623E-9,175.225E-9,189.827E-9,204.430E-9,219.032E-9,233.634E-9,248.236E-9,262.838E-9,277.440E-9,292.042E-9,20.4643E-12,40.3486E-12,60.2329E-12,80.1173E-12,100.002E-12,119.886E-12,139.770E-12,159.655E-12,179.539E-12,199.423E-12,219.307E-12,239.192E-12,259.076E-12,278.960E-12,298.845E-12,318.729E-12,338.613E-12,358.498E-12,378.382E-12,398.266E-12
