V ,leafValue( IS("/Q6/C") "N" 1 ) (A),leafValue( IS("/Q6/C") "N" 2 ) (A),leafValue( IS("/Q6/C") "N" 3 ) (A),leafValue( IS("/Q6/C") "N" 4 ) (A),leafValue( IS("/Q6/C") "N" 5 ) (A),leafValue( IS("/Q6/C") "N" 6 ) (A),leafValue( IS("/Q6/C") "N" 7 ) (A),leafValue( IS("/Q6/C") "N" 8 ) (A),leafValue( IS("/Q6/C") "N" 9 ) (A),leafValue( IS("/Q6/C") "N" 10 ) (A),leafValue( IS("/Q6/C") "N" 11 ) (A),leafValue( IS("/Q6/C") "N" 12 ) (A),leafValue( IS("/Q6/C") "N" 13 ) (A),leafValue( IS("/Q6/C") "N" 14 ) (A),leafValue( IS("/Q6/C") "N" 15 ) (A),leafValue( IS("/Q6/C") "N" 16 ) (A),leafValue( IS("/Q6/C") "N" 17 ) (A),leafValue( IS("/Q6/C") "N" 18 ) (A),leafValue( IS("/Q6/C") "N" 19 ) (A),leafValue( IS("/Q6/C") "N" 20 ) (A),leafValue( IS("/Q6/B") "N" 1 ) (A),leafValue( IS("/Q6/B") "N" 2 ) (A),leafValue( IS("/Q6/B") "N" 3 ) (A),leafValue( IS("/Q6/B") "N" 4 ) (A),leafValue( IS("/Q6/B") "N" 5 ) (A),leafValue( IS("/Q6/B") "N" 6 ) (A),leafValue( IS("/Q6/B") "N" 7 ) (A),leafValue( IS("/Q6/B") "N" 8 ) (A),leafValue( IS("/Q6/B") "N" 9 ) (A),leafValue( IS("/Q6/B") "N" 10 ) (A),leafValue( IS("/Q6/B") "N" 11 ) (A),leafValue( IS("/Q6/B") "N" 12 ) (A),leafValue( IS("/Q6/B") "N" 13 ) (A),leafValue( IS("/Q6/B") "N" 14 ) (A),leafValue( IS("/Q6/B") "N" 15 ) (A),leafValue( IS("/Q6/B") "N" 16 ) (A),leafValue( IS("/Q6/B") "N" 17 ) (A),leafValue( IS("/Q6/B") "N" 18 ) (A),leafValue( IS("/Q6/B") "N" 19 ) (A),leafValue( IS("/Q6/B") "N" 20 ) (A)
100.000E-3,239.550E-18,479.100E-18,718.650E-18,958.199E-18,1.19775E-15,1.43730E-15,1.67685E-15,1.91640E-15,2.15595E-15,2.39550E-15,2.63505E-15,2.87460E-15,3.11415E-15,3.35370E-15,3.59325E-15,3.83280E-15,4.07235E-15,4.31190E-15,4.55145E-15,4.79100E-15,101.243E-15,102.486E-15,103.730E-15,104.973E-15,106.216E-15,107.459E-15,108.702E-15,109.945E-15,111.189E-15,112.432E-15,113.675E-15,114.918E-15,116.161E-15,117.405E-15,118.648E-15,119.891E-15,121.134E-15,122.377E-15,123.620E-15,124.864E-15
105.000E-3,290.272E-18,580.544E-18,870.816E-18,1.16109E-15,1.45136E-15,1.74163E-15,2.03190E-15,2.32218E-15,2.61245E-15,2.90272E-15,3.19299E-15,3.48326E-15,3.77353E-15,4.06381E-15,4.35408E-15,4.64435E-15,4.93462E-15,5.22489E-15,5.51517E-15,5.80544E-15,106.370E-15,107.740E-15,109.111E-15,110.481E-15,111.851E-15,113.221E-15,114.591E-15,115.962E-15,117.332E-15,118.702E-15,120.072E-15,121.442E-15,122.813E-15,124.183E-15,125.553E-15,126.923E-15,128.293E-15,129.663E-15,131.034E-15,132.404E-15
110.000E-3,351.489E-18,702.979E-18,1.05447E-15,1.40596E-15,1.75745E-15,2.10894E-15,2.46043E-15,2.81191E-15,3.16340E-15,3.51489E-15,3.86638E-15,4.21787E-15,4.56936E-15,4.92085E-15,5.27234E-15,5.62383E-15,5.97532E-15,6.32681E-15,6.67830E-15,7.02979E-15,111.507E-15,113.015E-15,114.522E-15,116.030E-15,117.537E-15,119.045E-15,120.552E-15,122.059E-15,123.567E-15,125.074E-15,126.582E-15,128.089E-15,129.597E-15,131.104E-15,132.611E-15,134.119E-15,135.626E-15,137.134E-15,138.641E-15,140.148E-15
115.000E-3,425.373E-18,850.746E-18,1.27612E-15,1.70149E-15,2.12686E-15,2.55224E-15,2.97761E-15,3.40298E-15,3.82836E-15,4.25373E-15,4.67910E-15,5.10447E-15,5.52985E-15,5.95522E-15,6.38059E-15,6.80597E-15,7.23134E-15,7.65671E-15,8.08209E-15,8.50746E-15,116.656E-15,118.311E-15,119.967E-15,121.623E-15,123.278E-15,124.934E-15,126.590E-15,128.246E-15,129.901E-15,131.557E-15,133.213E-15,134.868E-15,136.524E-15,138.180E-15,139.835E-15,141.491E-15,143.147E-15,144.802E-15,146.458E-15,148.114E-15
120.000E-3,514.542E-18,1.02908E-15,1.54363E-15,2.05817E-15,2.57271E-15,3.08725E-15,3.60179E-15,4.11634E-15,4.63088E-15,5.14542E-15,5.65996E-15,6.17451E-15,6.68905E-15,7.20359E-15,7.71813E-15,8.23267E-15,8.74722E-15,9.26176E-15,9.77630E-15,10.2908E-15,121.816E-15,123.632E-15,125.448E-15,127.264E-15,129.079E-15,130.895E-15,132.711E-15,134.527E-15,136.343E-15,138.159E-15,139.975E-15,141.791E-15,143.607E-15,145.422E-15,147.238E-15,149.054E-15,150.870E-15,152.686E-15,154.502E-15,156.318E-15
125.000E-3,622.157E-18,1.24431E-15,1.86647E-15,2.48863E-15,3.11079E-15,3.73294E-15,4.35510E-15,4.97726E-15,5.59942E-15,6.22157E-15,6.84373E-15,7.46589E-15,8.08805E-15,8.71020E-15,9.33236E-15,9.95452E-15,10.5767E-15,11.1988E-15,11.8210E-15,12.4431E-15,126.989E-15,128.978E-15,130.967E-15,132.956E-15,134.945E-15,136.934E-15,138.923E-15,140.912E-15,142.901E-15,144.890E-15,146.879E-15,148.868E-15,150.857E-15,152.846E-15,154.835E-15,156.824E-15,158.813E-15,160.802E-15,162.790E-15,164.779E-15
130.000E-3,752.032E-18,1.50406E-15,2.25610E-15,3.00813E-15,3.76016E-15,4.51219E-15,5.26423E-15,6.01626E-15,6.76829E-15,7.52032E-15,8.27235E-15,9.02439E-15,9.77642E-15,10.5285E-15,11.2805E-15,12.0325E-15,12.7845E-15,13.5366E-15,14.2886E-15,15.0406E-15,132.176E-15,134.352E-15,136.528E-15,138.704E-15,140.880E-15,143.056E-15,145.232E-15,147.408E-15,149.584E-15,151.760E-15,153.936E-15,156.112E-15,158.288E-15,160.464E-15,162.640E-15,164.816E-15,166.992E-15,169.168E-15,171.344E-15,173.520E-15
135.000E-3,908.768E-18,1.81754E-15,2.72630E-15,3.63507E-15,4.54384E-15,5.45261E-15,6.36137E-15,7.27014E-15,8.17891E-15,9.08768E-15,9.99644E-15,10.9052E-15,11.8140E-15,12.7227E-15,13.6315E-15,14.5403E-15,15.4490E-15,16.3578E-15,17.2666E-15,18.1754E-15,137.378E-15,139.756E-15,142.134E-15,144.512E-15,146.890E-15,149.268E-15,151.646E-15,154.024E-15,156.402E-15,158.780E-15,161.158E-15,163.537E-15,165.915E-15,168.293E-15,170.671E-15,173.049E-15,175.427E-15,177.805E-15,180.183E-15,182.561E-15
140.000E-3,1.09791E-15,2.19583E-15,3.29374E-15,4.39166E-15,5.48957E-15,6.58749E-15,7.68540E-15,8.78332E-15,9.88123E-15,10.9791E-15,12.0771E-15,13.1750E-15,14.2729E-15,15.3708E-15,16.4687E-15,17.5666E-15,18.6645E-15,19.7625E-15,20.8604E-15,21.9583E-15,142.596E-15,145.193E-15,147.789E-15,150.385E-15,152.982E-15,155.578E-15,158.175E-15,160.771E-15,163.367E-15,165.964E-15,168.560E-15,171.156E-15,173.753E-15,176.349E-15,178.945E-15,181.542E-15,184.138E-15,186.735E-15,189.331E-15,191.927E-15
145.000E-3,1.32617E-15,2.65234E-15,3.97851E-15,5.30468E-15,6.63085E-15,7.95702E-15,9.28319E-15,10.6094E-15,11.9355E-15,13.2617E-15,14.5879E-15,15.9140E-15,17.2402E-15,18.5664E-15,19.8925E-15,21.2187E-15,22.5449E-15,23.8711E-15,25.1972E-15,26.5234E-15,147.832E-15,150.665E-15,153.497E-15,156.329E-15,159.161E-15,161.994E-15,164.826E-15,167.658E-15,170.490E-15,173.323E-15,176.155E-15,178.987E-15,181.819E-15,184.652E-15,187.484E-15,190.316E-15,193.148E-15,195.981E-15,198.813E-15,201.645E-15
