freq (Hz),leafValue( getData("out" ?result "noise") "N" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 3 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 6 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 7 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 9 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 10 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 11 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 12 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 13 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 14 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 15 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 17 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 18 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 19 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 20 ) (A / sqrt(Hz))
2.13796,3.13477E-9,1.38783E-9,775.912E-12,451.193E-12,227.830E-12,131.581E-12,87.5354E-12,66.6109E-12,56.2348E-12,50.4705E-12,46.7885E-12,44.1783E-12,42.2007E-12,40.6363E-12,39.3612E-12,38.2984E-12,37.3970E-12,36.6216E-12,35.9466E-12,35.3530E-12
2.18776,3.09889E-9,1.37195E-9,767.053E-12,446.086E-12,225.316E-12,130.203E-12,86.6906E-12,66.0283E-12,55.7888E-12,50.1046E-12,46.4760E-12,43.9049E-12,41.9575E-12,40.4174E-12,39.1622E-12,38.1162E-12,37.2291E-12,36.4659E-12,35.8015E-12,35.2173E-12
2.23872,3.06342E-9,1.35625E-9,758.296E-12,441.037E-12,222.833E-12,128.843E-12,85.8571E-12,65.4540E-12,55.3495E-12,49.7444E-12,46.1686E-12,43.6360E-12,41.7185E-12,40.2023E-12,38.9669E-12,37.9373E-12,37.0642E-12,36.3131E-12,35.6592E-12,35.0842E-12
2.29087,3.02835E-9,1.34073E-9,749.639E-12,436.048E-12,220.379E-12,127.500E-12,85.0346E-12,64.8878E-12,54.9169E-12,49.3898E-12,45.8661E-12,43.3716E-12,41.4836E-12,39.9910E-12,38.7750E-12,37.7617E-12,36.9024E-12,36.1631E-12,35.5196E-12,34.9536E-12
2.34423,2.99369E-9,1.32539E-9,741.082E-12,431.116E-12,217.954E-12,126.174E-12,84.2230E-12,64.3297E-12,54.4907E-12,49.0409E-12,45.5686E-12,43.1117E-12,41.2527E-12,39.7835E-12,38.5865E-12,37.5893E-12,36.7435E-12,36.0160E-12,35.3826E-12,34.8255E-12
2.39883,2.95942E-9,1.31023E-9,732.622E-12,426.241E-12,215.558E-12,124.864E-12,83.4223E-12,63.7796E-12,54.0710E-12,48.6975E-12,45.2760E-12,42.8562E-12,41.0258E-12,39.5796E-12,38.4015E-12,37.4200E-12,36.5877E-12,35.8716E-12,35.2482E-12,34.6999E-12
2.45471,2.92555E-9,1.29523E-9,724.260E-12,421.423E-12,213.190E-12,123.571E-12,82.6324E-12,63.2374E-12,53.6577E-12,48.3595E-12,44.9882E-12,42.6050E-12,40.8029E-12,39.3793E-12,38.2198E-12,37.2538E-12,36.4347E-12,35.7300E-12,35.1164E-12,34.5767E-12
2.51189,2.89206E-9,1.28041E-9,715.994E-12,416.660E-12,210.851E-12,122.293E-12,81.8530E-12,62.7030E-12,53.2507E-12,48.0270E-12,44.7052E-12,42.3581E-12,40.5839E-12,39.1826E-12,38.0414E-12,37.0907E-12,36.2846E-12,35.5910E-12,34.9871E-12,34.4558E-12
2.57040,2.85895E-9,1.26576E-9,707.823E-12,411.953E-12,208.539E-12,121.032E-12,81.0842E-12,62.1763E-12,52.8500E-12,47.6997E-12,44.4268E-12,42.1154E-12,40.3687E-12,38.9894E-12,37.8662E-12,36.9306E-12,36.1373E-12,35.4547E-12,34.8603E-12,34.3373E-12
2.63027,2.82623E-9,1.25128E-9,699.746E-12,407.301E-12,206.255E-12,119.787E-12,80.3257E-12,61.6573E-12,52.4554E-12,47.3778E-12,44.1532E-12,41.8769E-12,40.1573E-12,38.7997E-12,37.6943E-12,36.7735E-12,35.9927E-12,35.3209E-12,34.7359E-12,34.2211E-12
2.69153,2.79388E-9,1.23697E-9,691.762E-12,402.702E-12,203.999E-12,118.557E-12,79.5776E-12,61.1458E-12,52.0669E-12,47.0610E-12,43.8840E-12,41.6425E-12,39.9497E-12,38.6134E-12,37.5255E-12,36.6193E-12,35.8509E-12,35.1897E-12,34.6139E-12,34.1072E-12
