VBE ,beta VCE 0.6 N 1 ,beta VCE 0.6 N 2 ,beta VCE 0.6 N 3 ,beta VCE 0.6 N 4 ,beta VCE 0.6 N 5 ,beta VCE 0.6 N 6 ,beta VCE 0.6 N 7 ,beta VCE 0.6 N 8 ,beta VCE 0.6 N 9 ,beta VCE 0.6 N 10 ,beta VCE 0.65 N 1 ,beta VCE 0.65 N 2 ,beta VCE 0.65 N 3 ,beta VCE 0.65 N 4 ,beta VCE 0.65 N 5 ,beta VCE 0.65 N 6 ,beta VCE 0.65 N 7 ,beta VCE 0.65 N 8 ,beta VCE 0.65 N 9 ,beta VCE 0.65 N 10 ,beta VCE 0.7 N 1 ,beta VCE 0.7 N 2 ,beta VCE 0.7 N 3 ,beta VCE 0.7 N 4 ,beta VCE 0.7 N 5 ,beta VCE 0.7 N 6 ,beta VCE 0.7 N 7 ,beta VCE 0.7 N 8 ,beta VCE 0.7 N 9 ,beta VCE 0.7 N 10 ,beta VCE 0.75 N 1 ,beta VCE 0.75 N 2 ,beta VCE 0.75 N 3 ,beta VCE 0.75 N 4 ,beta VCE 0.75 N 5 ,beta VCE 0.75 N 6 ,beta VCE 0.75 N 7 ,beta VCE 0.75 N 8 ,beta VCE 0.75 N 9 ,beta VCE 0.75 N 10 ,beta VCE 0.8 N 1 ,beta VCE 0.8 N 2 ,beta VCE 0.8 N 3 ,beta VCE 0.8 N 4 ,beta VCE 0.8 N 5 ,beta VCE 0.8 N 6 ,beta VCE 0.8 N 7 ,beta VCE 0.8 N 8 ,beta VCE 0.8 N 9 ,beta VCE 0.8 N 10 
200.000E-3,-2.12802,-2.26580,-2.41451,-2.57550,-2.75036,-2.94096,-3.14952,-3.37871,-3.63175,-3.91257,-1.89583,-1.99743,-2.10532,-2.22011,-2.34248,-2.47321,-2.61319,-2.76344,-2.92512,-3.09960,-1.74292,-1.82295,-1.90705,-1.99554,-2.08877,-2.18713,-2.29107,-2.40105,-2.51764,-2.64144,-1.63459,-1.70042,-1.76909,-1.84079,-1.91572,-1.99410,-2.07617,-2.16222,-2.25253,-2.34742,-1.55384,-1.60966,-1.66756,-1.72768,-1.79013,-1.85506,-1.92261,-1.99296,-2.06627,-2.14273
205.000E-3,-2.23621,-2.40732,-2.59419,-2.79908,-3.02476,-3.27454,-3.55251,-3.86373,-4.21454,-4.61300,-1.97015,-2.09407,-2.22677,-2.36922,-2.52253,-2.68799,-2.86712,-3.06166,-3.27371,-3.50574,-1.79833,-1.89488,-1.99700,-2.10516,-2.21994,-2.34195,-2.47189,-2.61058,-2.75892,-2.91796,-1.67822,-1.75706,-1.83972,-1.92649,-2.01768,-2.11365,-2.21476,-2.32146,-2.43421,-2.55355,-1.58952,-1.65602,-1.72530,-1.79755,-1.87296,-1.95173,-2.03411,-2.12034,-2.21071,-2.30551
210.000E-3,-2.36104,-2.57524,-2.81247,-3.07665,-3.37265,-3.70658,-4.08625,-4.52173,-5.02632,-5.61786,-2.05404,-2.20605,-2.37042,-2.54872,-2.74278,-2.95482,-3.18743,-3.44377,-3.72767,-4.04381,-1.86005,-1.97706,-2.10172,-2.23480,-2.37719,-2.52989,-2.69407,-2.87107,-3.06246,-3.27006,-1.72637,-1.82115,-1.92112,-2.02670,-2.13839,-2.25672,-2.38230,-2.51584,-2.65810,-2.80996,-1.62865,-1.70816,-1.79139,-1.87863,-1.97016,-2.06632,-2.16746,-2.27397,-2.38631,-2.50495
215.000E-3,-2.50654,-2.77712,-3.08190,-3.42779,-3.82371,-4.28137,-4.81643,-5.45034,-6.21328,-7.14909,-2.14949,-2.33712,-2.54230,-2.76764,-3.01626,-3.29195,-3.59940,-3.94443,-4.33438,-4.77862,-1.92926,-2.07176,-2.22485,-2.38976,-2.56792,-2.76098,-2.97091,-3.20001,-3.45103,-3.72728,-1.77985,-1.89428,-2.01577,-2.14499,-2.28270,-2.42976,-2.58717,-2.75605,-2.93771,-3.13365,-1.67183,-1.76724,-1.86767,-1.97353,-2.08528,-2.20341,-2.32851,-2.46119,-2.60217,-2.75225
220.000E-3,-2.67811,-3.02346,-3.42054,-3.88191,-4.42458,-5.07210,-5.85810,-6.83233,-8.07160,-9.70111,-2.25903,-2.49218,-2.75058,-3.03857,-3.36156,-3.72633,-4.14155,-4.61845,-5.17190,-5.82193,-2.00745,-2.18187,-2.37109,-2.57708,-2.80217,-3.04914,-3.32135,-3.62287,-3.95871,-4.33509,-1.83966,-1.97841,-2.12682,-2.28597,-2.45704,-2.64143,-2.84077,-3.05694,-3.29217,-3.54910,-1.71979,-1.83471,-1.95643,-2.08558,-2.22285,-2.36904,-2.52505,-2.69189,-2.87074,-3.06294
225.000E-3,-2.88304,-3.32913,-3.85524,-4.48503,-5.25249,-6.20829,-7.43148,-9.05248,-11.3031,-14.6385,-2.38593,-2.67781,-3.00648,-3.37936,-3.80604,-4.29903,-4.87513,-5.55726,-6.37767,-7.38316,-2.09648,-2.31116,-2.54670,-2.80630,-3.09385,-3.41410,-3.77297,-4.17791,-4.63838,-5.16667,-1.90704,-2.07602,-2.25836,-2.45571,-2.67000,-2.90351,-3.15894,-3.43955,-3.74923,-4.09276,-1.77342,-1.91240,-2.06064,-2.21909,-2.38886,-2.57120,-2.76756,-2.97961,-3.20933,-3.45901
230.000E-3,-3.13143,-3.71588,-4.42750,-5.31287,-6.44447,-7.94160,-10.0155,-13.0789,-18.0621,-27.5930,-2.53445,-2.90292,-3.32579,-3.81607,-4.39128,-5.07558,-5.90326,-6.92464,-8.21675,-9.90366,-2.19872,-2.46453,-2.76006,-3.09055,-3.46262,-3.88462,-4.36735,-4.92493,-5.57621,-6.34701,-1.98352,-2.19032,-2.41570,-2.66229,-2.93323,-3.23232,-3.56417,-3.93449,-4.35038,-4.82080,-1.83383,-2.00260,-2.18405,-2.37967,-2.59119,-2.82063,-3.07036,-3.34321,-3.64255,-3.97241
235.000E-3,-3.43759,-4.21653,-5.20451,-6.49873,-8.26765,-10.8312,-14.8796,-22.2295,-39.6994,-134.374,-2.71023,-3.17980,-3.73122,-4.38795,-5.18334,-6.16648,-7.41274,-9.04409,-11.2716,-14.4951,-2.31720,-2.64848,-3.02253,-3.44820,-3.93696,-4.50397,-5.16965,-5.96221,-6.92175,-8.10725,-2.07105,-2.32542,-2.60585,-2.91659,-3.26280,-3.65095,-4.08914,-4.58772,-5.16008,-5.82393,-1.90242,-2.10823,-2.33154,-2.57466,-2.84037,-3.13196,-3.45340,-3.80953,-4.20628,-4.65102
240.000E-3,-3.82238,-4.88278,-6.30206,-8.29946,-11.3186,-16.4129,-26.8421,-60.1975,646.090,56.6668,-2.92085,-3.52579,-4.25647,-5.15663,-6.29299,-7.77255,-9.77843,-12.6522,-17.1128,-24.9755,-2.45583,-2.87167,-3.34988,-3.90563,-4.55944,-5.33978,-6.28731,-7.46221,-8.95748,-10.9248,-2.17209,-2.48667,-2.83816,-3.23346,-3.68129,-4.19290,-4.78292,-5.47090,-6.28343,-7.25771,-1.98091,-2.23304,-2.50946,-2.81386,-3.15071,-3.52550,-3.94501,-4.41776,-4.95457,-5.56942
245.000E-3,-4.31725,-5.80052,-7.93680,-11.2790,-17.2499,-30.9606,-95.1806,121.588,40.8223,25.7973,-3.17666,-3.96596,-4.95328,-6.22386,-7.91997,-10.2984,-13.8746,-19.8579,-31.9109,-68.7773,-2.61975,-3.14590,-3.76436,-4.50176,-5.39605,-6.50326,-7.90972,-9.75569,-12.2853,-15.9648,-2.28975,-2.68110,-3.12523,-3.63360,-4.22121,-4.90819,-5.72204,-6.70150,-7.90285,-9.41110,-2.07147,-2.38181,-2.72615,-3.11040,-3.54192,-4.03000,-4.58655,-5.22706,-5.97209,-6.84947
