VCE ,beta VBE 0.6 N 1 ,beta VBE 0.6 N 2 ,beta VBE 0.6 N 3 ,beta VBE 0.6 N 4 ,beta VBE 0.6 N 5 ,beta VBE 0.6 N 6 ,beta VBE 0.6 N 7 ,beta VBE 0.6 N 8 ,beta VBE 0.6 N 9 ,beta VBE 0.6 N 10 ,beta VBE 0.65 N 1 ,beta VBE 0.65 N 2 ,beta VBE 0.65 N 3 ,beta VBE 0.65 N 4 ,beta VBE 0.65 N 5 ,beta VBE 0.65 N 6 ,beta VBE 0.65 N 7 ,beta VBE 0.65 N 8 ,beta VBE 0.65 N 9 ,beta VBE 0.65 N 10 ,beta VBE 0.7 N 1 ,beta VBE 0.7 N 2 ,beta VBE 0.7 N 3 ,beta VBE 0.7 N 4 ,beta VBE 0.7 N 5 ,beta VBE 0.7 N 6 ,beta VBE 0.7 N 7 ,beta VBE 0.7 N 8 ,beta VBE 0.7 N 9 ,beta VBE 0.7 N 10 ,beta VBE 0.75 N 1 ,beta VBE 0.75 N 2 ,beta VBE 0.75 N 3 ,beta VBE 0.75 N 4 ,beta VBE 0.75 N 5 ,beta VBE 0.75 N 6 ,beta VBE 0.75 N 7 ,beta VBE 0.75 N 8 ,beta VBE 0.75 N 9 ,beta VBE 0.75 N 10 ,beta VBE 0.8 N 1 ,beta VBE 0.8 N 2 ,beta VBE 0.8 N 3 ,beta VBE 0.8 N 4 ,beta VBE 0.8 N 5 ,beta VBE 0.8 N 6 ,beta VBE 0.8 N 7 ,beta VBE 0.8 N 8 ,beta VBE 0.8 N 9 ,beta VBE 0.8 N 10 
255.000E-3,728.743,737.094,739.920,741.341,742.197,742.768,743.177,743.484,743.722,743.914,726.483,727.946,728.435,728.679,728.826,728.924,728.994,729.047,729.087,729.120,674.421,674.646,674.721,674.758,674.781,674.796,674.807,674.815,674.821,674.826,597.258,597.290,597.301,597.306,597.310,597.312,597.313,597.314,597.315,597.316,460.585,460.589,460.590,460.591,460.591,460.592,460.592,460.592,460.592,460.592
260.000E-3,729.302,737.621,740.436,741.852,742.704,743.273,743.680,743.985,744.223,744.414,727.018,728.476,728.963,729.207,729.353,729.451,729.521,729.573,729.614,729.646,674.936,675.161,675.236,675.273,675.296,675.311,675.321,675.329,675.335,675.340,597.793,597.825,597.836,597.841,597.845,597.847,597.848,597.850,597.850,597.851,461.914,461.918,461.919,461.920,461.920,461.920,461.921,461.921,461.921,461.921
265.000E-3,729.779,738.064,740.868,742.278,743.126,743.693,744.098,744.402,744.639,744.829,727.463,728.915,729.401,729.644,729.790,729.887,729.956,730.009,730.049,730.081,675.364,675.588,675.662,675.700,675.722,675.737,675.748,675.756,675.762,675.767,598.244,598.276,598.287,598.292,598.296,598.298,598.299,598.301,598.301,598.302,463.140,463.144,463.145,463.146,463.147,463.147,463.147,463.147,463.147,463.147
270.000E-3,730.190,738.439,741.230,742.634,743.478,744.043,744.446,744.749,744.985,745.174,727.833,729.280,729.764,730.006,730.151,730.248,730.317,730.369,730.410,730.442,675.719,675.942,676.016,676.053,676.076,676.090,676.101,676.109,676.115,676.120,598.625,598.657,598.668,598.674,598.677,598.679,598.681,598.682,598.683,598.683,464.277,464.281,464.282,464.283,464.283,464.284,464.284,464.284,464.284,464.284
275.000E-3,730.544,738.756,741.535,742.932,743.773,744.335,744.736,745.038,745.272,745.460,728.143,729.583,730.065,730.306,730.451,730.547,730.616,730.668,730.708,730.740,676.013,676.236,676.310,676.347,676.369,676.384,676.394,676.402,676.409,676.414,598.949,598.981,598.992,598.997,599.000,599.002,599.004,599.005,599.006,599.007,465.335,465.339,465.340,465.341,465.342,465.342,465.342,465.342,465.342,465.342
280.000E-3,730.853,739.027,741.793,743.183,744.020,744.579,744.979,745.279,745.512,745.699,728.401,729.836,730.315,730.555,730.699,730.796,730.864,730.916,730.956,730.988,676.258,676.480,676.554,676.591,676.613,676.628,676.638,676.646,676.652,676.657,599.224,599.256,599.267,599.272,599.275,599.277,599.279,599.280,599.281,599.282,466.323,466.328,466.329,466.330,466.330,466.330,466.331,466.331,466.331,466.331
285.000E-3,731.124,739.259,742.011,743.395,744.228,744.784,745.182,745.480,745.713,745.899,728.617,730.046,730.523,730.762,730.906,731.002,731.070,731.121,731.161,731.193,676.462,676.683,676.757,676.793,676.816,676.830,676.841,676.849,676.855,676.860,599.459,599.491,599.502,599.507,599.510,599.513,599.514,599.515,599.516,599.517,467.250,467.254,467.256,467.256,467.257,467.257,467.257,467.257,467.257,467.257
290.000E-3,731.364,739.459,742.198,743.574,744.403,744.956,745.352,745.649,745.881,746.066,728.799,730.221,730.697,730.935,731.078,731.173,731.241,731.292,731.332,731.363,676.633,676.852,676.926,676.962,676.984,676.999,677.010,677.017,677.024,677.028,599.661,599.693,599.704,599.709,599.712,599.714,599.716,599.717,599.718,599.719,468.121,468.125,468.127,468.127,468.128,468.128,468.128,468.128,468.129,468.129
295.000E-3,731.578,739.633,742.357,743.727,744.552,745.102,745.496,745.791,746.022,746.206,728.953,730.368,730.842,731.078,731.221,731.315,731.383,731.434,731.473,731.505,676.775,676.994,677.067,677.103,677.125,677.140,677.150,677.158,677.164,677.169,599.836,599.868,599.878,599.883,599.887,599.889,599.890,599.891,599.892,599.893,468.943,468.947,468.948,468.949,468.949,468.949,468.950,468.950,468.950,468.950
300.000E-3,731.770,739.785,742.495,743.858,744.678,745.226,745.617,745.911,746.140,746.324,729.082,730.492,730.963,731.198,731.340,731.434,731.502,731.552,731.592,731.623,676.894,677.112,677.185,677.221,677.243,677.258,677.268,677.276,677.282,677.287,599.987,600.019,600.029,600.035,600.038,600.040,600.041,600.043,600.043,600.044,469.719,469.723,469.724,469.725,469.726,469.726,469.726,469.726,469.726,469.726
305.000E-3,731.946,739.919,742.615,743.971,744.786,745.331,745.721,746.013,746.241,746.423,729.193,730.595,731.064,731.299,731.440,731.534,731.601,731.651,731.690,731.721,676.995,677.212,677.284,677.320,677.342,677.356,677.367,677.374,677.380,677.385,600.119,600.151,600.161,600.167,600.170,600.172,600.173,600.175,600.175,600.176,470.454,470.458,470.460,470.460,470.461,470.461,470.461,470.462,470.462,470.462
310.000E-3,732.106,740.038,742.720,744.068,744.879,745.421,745.809,746.100,746.326,746.508,729.287,730.683,731.150,731.383,731.523,731.617,731.684,731.734,731.773,731.804,677.079,677.295,677.367,677.403,677.425,677.439,677.449,677.457,677.463,677.468,600.236,600.267,600.277,600.283,600.286,600.288,600.289,600.290,600.291,600.292,471.152,471.156,471.158,471.158,471.159,471.159,471.159,471.159,471.159,471.160
315.000E-3,732.255,740.145,742.812,744.153,744.960,745.499,745.885,746.174,746.399,746.580,729.369,730.758,731.222,731.454,731.594,731.687,731.753,731.803,731.842,731.873,677.150,677.366,677.437,677.473,677.495,677.509,677.519,677.527,677.533,677.538,600.338,600.369,600.380,600.385,600.388,600.390,600.392,600.393,600.394,600.394,471.816,471.820,471.821,471.822,471.822,471.822,471.823,471.823,471.823,471.823
320.000E-3,732.394,740.241,742.895,744.228,745.031,745.567,745.950,746.238,746.462,746.641,729.439,730.821,731.283,731.514,731.653,731.746,731.812,731.861,731.900,731.931,677.211,677.425,677.497,677.533,677.554,677.568,677.578,677.586,677.592,677.597,600.430,600.461,600.471,600.476,600.479,600.481,600.483,600.484,600.485,600.486,472.447,472.451,472.453,472.453,472.454,472.454,472.454,472.454,472.455,472.455
325.000E-3,732.525,740.330,742.969,744.295,745.093,745.626,746.007,746.294,746.516,746.695,729.500,730.876,731.335,731.565,731.704,731.796,731.861,731.911,731.949,731.980,677.263,677.476,677.547,677.583,677.604,677.619,677.629,677.636,677.642,677.647,600.512,600.543,600.553,600.558,600.561,600.563,600.565,600.566,600.567,600.567,473.049,473.054,473.055,473.056,473.056,473.056,473.056,473.057,473.057,473.057
